Extension,legacy,4.0.0,post-4.0.0,4.0.1,post-4.0.1,4.1.0,post-4.1.0,4.1.1,post-4.1.1,4.2.0,post-4.2.0,4.2.1,post-4.2.1,4.2.2,post-4.2.2,4.2.2-1,post-4.2.2-1,4.3.0,post-4.3.0,4.3.1,post-4.3.1,4.3.1-1,post-4.3.1-1,4.4.0,post-4.4.0,4.5.0-1,post-4.5.0-1,4.6.0,post-4.6.0,4.6.2,post-4.6.2,4.8.0,post-4.8.0,4.8.1,post-4.8.1,4.10.0,post-4.10.0,4.10.1,post-4.10.1,4.10.2,post-4.10.2,4.11.20200930,post-4.11.20200930,4.11.20210226,post-4.11.20210226,unknown
ABC,0,0,0,0,0,0,0,0,571,82,353,63,225,0,0,118,4600,78,876,474,1091,0,7328,370,4704,323,5640,75,464,765,5274,268,709,804,3569,0,918,409,382,1149,0,0,0,0,0,0
ABLTemporalBoneSegmentation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,218,54,904,55,0
AnglePlanesExtension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,2396,439,5795,76,551,770,5836,308,722,842,3704,0,932,453,1011,6957,3447,774,132,1908,210,24
AnomalousFiltersExtension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,376,4208,209,712,649,3341,0,917,523,976,2624,3126,389,80,345,24,26
ArduinoController,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,264,52,1499,70,24
Auto3dgm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631,1229,250,2329,326,0
Autoscroll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,99,666,278,3005,0,901,282,1002,2057,3005,172,44,109,53,24
BoneTextureExtension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1356,251,706,714,3525,0,913,315,1054,2926,3245,1906,112,546,210,24
BoneThicknessMapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,668,102,417,109,0
BrainVolumeRefinement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1544,459,98,405,94,24
BreastImplantAnalyzer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,153,35,130,46,0
Cardiac_MRI_Toolkit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834,64,849,442,1092,0,4134,0,7395,387,5713,84,482,659,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CarreraSlice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,3630,328,8359,303,4138,27,260,96,3303,26,415,92,1722,0,542,33,635,99,1825,32,7,119,12,16
CBC_3D_I2MConversion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2634,608,6576,484,2463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChangeTracker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4209,85,851,519,1102,0,7338,603,8475,526,5708,88,478,816,5629,241,710,777,3276,0,911,343,996,2779,3169,1678,79,413,120,24
Chest_Imaging_Platform,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2237,539,3867,66,117,1111,6866,381,691,1247,204,0,0,0,0,4244,577,1337,147,1191,107,16
CleverSeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534,307,78,252,98,25
CMFreg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,142,485,1195,0,7339,536,8530,498,5259,91,495,960,5917,454,759,1241,3561,0,954,724,1035,5723,3618,871,108,1542,14,337
CornerAnnotation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,754,188,8461,149,5658,42,539,377,5482,127,663,346,3295,0,874,156,941,2132,2902,2133,71,286,49,43
CurveMaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3435,469,8581,410,5761,79,549,745,5847,277,733,1029,3658,0,946,514,1061,74641,3776,1653,149,883,189,24
DatabaseInteractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4420,129,667,313,2889,0,863,151,934,2690,2888,159,38,230,88,24
DCMQI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6090,614,782,2060,4457,0,1073,910,1166,5964,4056,1929,265,1791,378,24
DebuggingTools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012,352,5804,80,549,584,5845,222,711,767,3740,0,915,357,992,865,3419,1146,119,425,170,24
DeepInfer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3018,286,719,981,3578,0,939,686,1052,1330,3399,527,123,813,187,24
DeveloperToolsForExtensions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,4795,272,5701,56,551,516,5555,161,681,477,3184,0,885,221,965,2769,3152,337,97,298,120,24
DiceComputation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,43,0,403,0,0,4717,365,6299,323,5623,64,477,627,5492,228,658,552,328,0,0,0,0,0,0,0,0,0,0,0
DICOMwebBrowser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,67,581,133,0
DiffusionQC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,561,97,1093,3257,3351,435,126,7052,130,25
DRRGenerator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,94,11,92,5,16
DSCMRIAnalysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4849,80,486,735,5677,235,701,729,3366,0,912,303,374,1380,0,0,0,96,36,0
DTIAtlasBuilder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,2942,60,551,511,725,0,2556,55,918,0,1167,0,0,0,0,0,0,0,34,0,129,87,134,273,0,0,0,0,0,56
DTIAtlasFiberAnalyzer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,327,0,0,681,18,0,3108,64,1151,327,1334,0,0,0,0,0,0,0,0,0,0,56,244,283,592,0,0,0,0,89
DTIPrep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,103,0,0,256,15,0,1510,276,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
DTIProcess,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,3845,48,577,419,722,0,6519,484,4183,547,1782,0,0,0,2758,397,739,1381,1939,0,543,140,236,475,0,0,0,0,0,82
DTI-Reg,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,12,0,0,0,0,0,0,0,0,0,78,0,500,100,245,860,0,0,0,0,0,0
EasyClip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,2564,624,5797,100,559,905,5830,289,729,906,3703,0,931,393,1020,6071,3475,824,117,684,205,24
Eigen3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ErodeDilateLabel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2925,65,863,415,1091,0,7345,357,2107,0,0,0,0,0,0,0,0,0,239,0,878,197,957,2369,3042,297,50,260,93,25
exStone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,42,626,98,2233,0,561,109,519,9948,859,0,0,0,5,8
FacetedVisualizer,0,0,0,0,0,0,0,0,3283,76,310,63,224,0,0,110,4588,59,858,278,1091,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FiberViewerLight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,4497,70,845,451,1091,0,3079,268,5277,307,5459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
FiducialsToModelDistance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,287,71,1284,136,24
FilmDosimetryAnalysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,68,495,543,4962,183,621,471,2657,0,863,272,1067,3680,2908,1125,57,226,68,25
GelDosimetryAnalysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,5473,331,8345,238,4215,61,423,452,4873,135,557,384,2839,0,850,176,956,6895,2824,363,49,3233,55,25
GeodesicSlicer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,133,947,1911,2904,953,38,189,63,24
GraphCutSegment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,299,3174,43,405,438,3920,150,477,421,197,0,0,0,0,0,1113,224,57,205,73,8
GyroGuide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5830,301,8434,904,5671,57,543,791,5758,234,719,716,3328,0,915,334,1001,1655,3285,422,74,325,95,24
IASEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928,57,860,228,1079,0,7268,272,7850,212,4920,0,0,0,2268,106,651,310,2921,0,863,147,379,64248,0,0,0,0,0,0
iGyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4473,178,8394,114,5578,39,543,349,5414,79,653,219,2959,0,879,188,916,62488,2828,333,24,101,30,24
ImageCompare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,210,48,197,64,24
ImageMaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2221,64,862,375,1094,0,7273,286,8406,246,5644,57,478,433,1046,156,681,483,3296,0,888,180,946,589,2964,207,54,232,77,24
IntensitySegmenter,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,1624,727,8508,566,5628,86,488,842,5337,308,714,769,3416,0,923,372,1097,1664,9624,515,91,410,132,24
KidneyStoneCalculator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,233,55,195,71,24
lapdMouseBrowser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,412,198,929,69347,2845,320,23,80,45,24
LAScarSegmenter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,38,577,272,728,0,7238,271,8424,200,5632,48,476,397,5479,110,672,354,3019,0,875,257,955,841,2915,211,48,183,66,24
LASegmenter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,38,576,375,699,0,6730,0,0,0,0,0,0,0,76,106,677,342,2966,0,878,162,954,817,2961,214,33,166,7,24
LesionSimulator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,3103,157,29,167,60,22
LesionSpotlight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,37,842,0,271,259,313,54,893,10,1,595,8,8
LightWeightRobotIGT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7906,150,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LongitudinalPETCT,0,0,0,0,0,0,0,0,505,75,315,61,238,0,0,102,4575,75,823,283,1093,0,4779,305,8307,236,1073,0,0,18,616,251,695,960,3308,0,943,627,998,1822,2590,0,0,229,50,0
LungCTAnalyzer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,110,932,310,0
MABMIS,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6126,382,2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MarginCalculator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,729,372,3680,0,0,0,0,195,678,536,2992,0,880,258,761,1314,1571,0,0,0,0,0
MarkupsToModel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1843,563,847,2423,4710,0,1199,1685,1353,6874,7553,3738,579,4978,991,26
MatlabBridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099,95,881,846,1102,0,6826,878,8303,637,5558,103,486,838,5468,274,690,883,2843,0,710,369,1068,3923,3032,593,97,534,64,24
MeshStatisticsExtension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712,2436,448,4839,29,335,206,4313,201,646,561,3077,0,853,267,972,3621,3272,551,102,479,177,105
MeshToLabelMap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,5486,420,5737,73,482,629,5678,276,704,762,3294,0,916,317,972,1408,3306,572,97,1604,178,24
MFSDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,47,0
ModelClip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1954,62,860,350,1097,0,301,0,0,0,0,0,0,0,0,172,695,551,2959,0,887,214,952,1244,3034,262,57,312,68,22
ModelCropper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1478,307,63,272,81,24
ModelToModelDistance,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,0,0,5562,727,7611,776,5544,39,274,297,4487,350,747,1072,3472,0,953,674,1039,2000,2901,935,185,2164,319,69
mpReview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,5558,55,502,485,5427,165,680,480,3170,0,878,543,1312,2890,3104,253,63,981,94,24
MultiLevelRegistration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NeedleFinder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4498,220,8412,158,5651,42,543,311,5493,106,656,318,2985,0,863,137,924,768,2863,152,26,149,55,25
NvidiaAIAssistedAnnotation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2244,3619,2403,394,1962,647,25
OpenCAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,3823,522,8490,491,5793,86,555,814,5691,239,710,620,3230,0,914,270,978,867,3104,365,63,387,96,22
OpenCVExample,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2876,41,464,271,5142,61,624,173,2639,0,602,71,893,414,1343,0,0,0,0,0
OpenDose3D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,416,56,639,76,0
OrthodonticAnalysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,104,253,93,0
OsteotomyPlanner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1857,0,891,260,292,1031,0,0,0,202,69,0
PathReconstruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,555,45,914,13786,2901,164,61,1873,10,25
PBNRR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2689,369,8371,265,5670,57,480,542,258,0,0,0,383,0,334,107,136,2609,2542,125,32,1605,47,24
PedicleScrewSimulator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,942,0,912,259,964,1469,3052,967,49,205,94,25
PercutaneousApproachAnalysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3317,198,8421,161,5662,41,541,287,5445,101,650,278,3250,0,862,117,918,1238,2850,865,19,108,42,24
PerkTutor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4309,66,864,242,1126,0,6339,265,7786,217,5147,47,470,343,5311,139,658,405,2446,0,816,169,902,4786,2860,124,51,114,46,69
PETCPhantom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420,0,872,124,924,486,2897,216,43,174,52,24
PETDICOMExtension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1343,504,8530,365,4862,73,305,705,5294,490,742,1689,4323,0,1038,790,1117,4358,4177,2538,200,2444,287,58
PET-IndiC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,4336,169,5238,58,302,378,4957,151,663,519,3097,0,884,256,371,1744,638,317,59,2984,74,60
PETLiverUptakeMeasurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1633,51,487,354,5443,129,659,402,2950,0,846,218,946,13192,2983,921,44,801,50,24
PetSpectAnalysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,7329,199,5691,50,547,350,5453,129,661,389,3009,0,871,175,933,14274,2939,998,32,1244,63,24
PETTumorSegmentation,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,286,6604,310,5656,63,489,577,5508,228,675,683,2600,0,898,80,380,14595,701,1212,62,431,82,24
PickAndPaintExtension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,2616,324,5717,54,548,411,5542,150,675,375,2975,0,877,178,934,72262,3084,1362,72,386,139,49
PkModeling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2069,59,859,248,1095,0,6531,270,8440,192,5646,43,473,282,4968,117,655,299,3036,0,878,136,369,14950,0,0,0,0,0,0
PortPlacement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1598,82,859,282,1098,0,7324,342,6919,0,0,0,0,0,445,18,95,0,0,0,0,0,0,0,0,0,0,0,69,0
Q3DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,662,515,5772,73,563,776,5683,244,693,600,3188,0,888,328,979,2233,3224,721,92,481,168,34
QuantitativeReporting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,5097,307,658,982,3646,0,922,594,1157,10846,3597,1268,169,5582,247,24
RawImageGuess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,1266,213,1308,309,26
RegistrationQA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,938,0,2844,202,58,3280,58,22
ResampleDTIlogEuclidean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,2734,280,5674,86,493,871,5803,305,713,1083,2556,0,647,423,389,2765,1986,28,5,19,9,8
ResectionPlanner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967,333,8457,307,5725,61,547,436,5552,136,677,405,3026,0,869,190,933,1448,2986,468,51,212,75,24
ROBEXBrainExtraction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,4880,248,711,711,3256,0,954,444,1002,22136,2906,0,0,0,11,24
RSSExtension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,1091,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
Sandbox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,99,2785,0,840,67,903,1014,3744,1106,231,1316,385,25
ScatteredTransform,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4309,123,666,351,2993,0,883,158,938,13226,2877,146,31,138,64,24
Scoliosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1748,60,859,373,1091,0,7324,335,8475,257,5684,48,552,396,5326,142,649,351,3004,0,879,157,746,413,1445,0,0,0,0,0
SegmentationAidedRegistration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2208,87,865,607,1096,0,7415,651,2121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,320,63,299,91,21
SegmentationWizard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315,417,751,1275,3866,0,986,710,1113,74134,3857,955,132,687,208,24
SegmentEditorExtraEffects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3446,548,836,2252,4800,0,1182,1907,1588,8638,7518,4447,601,7252,921,25
SegmentMesher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,571,3163,0,958,439,1031,5205,3452,764,135,541,193,24
SegmentRegistration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2476,334,597,964,2808,0,933,548,938,19285,3542,757,131,6309,154,24
SequenceRegistration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,218,616,426,2974,0,840,373,1202,3187,3201,294,70,274,99,25
ShapePopulationViewer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,0,4827,590,5775,500,4582,0,0,242,3138,346,731,915,925,0,747,627,1156,1267,1968,648,90,606,9,35
ShapeQuantifier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1777,35,339,276,4157,222,674,505,2725,0,756,525,1201,5894,3040,650,47,2730,82,24
ShapeRegressionExtension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,2541,0,703,81,921,2553,2855,120,32,112,41,24
ShapeVariationAnalyzer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1575,213,631,479,2745,0,780,529,1044,635,2288,962,85,4882,164,24
SkeletalRepresentation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,274,30,289,74,970,20,13,24,31,8
SkullStripper,0,0,0,0,0,322,1444,31,4100,91,357,83,268,0,0,172,4948,112,867,722,1092,0,4560,0,7334,729,5716,100,489,994,1135,307,713,1054,3715,0,932,524,549,1623,3385,625,88,676,15,24
Slicer-AirwaySegmentation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,260,3355,747,2838,87,490,1012,5835,325,734,1051,3596,0,994,681,1023,3764,3043,0,0,0,16,42
SlicerAstro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873,56,473,415,3087,29,423,102,1616,0,554,48,413,0,1768,35,1,29,15,51
