Extension,legacy,4.0.0,post-4.0.0,4.0.1,post-4.0.1,4.1.0,post-4.1.0,4.1.1,post-4.1.1,4.2.0,post-4.2.0,4.2.1,post-4.2.1,4.2.2,post-4.2.2,4.2.2-1,post-4.2.2-1,4.3.0,post-4.3.0,4.3.1,post-4.3.1,4.3.1-1,post-4.3.1-1,4.4.0,post-4.4.0,4.5.0-1,post-4.5.0-1,4.6.0,post-4.6.0,4.6.2,post-4.6.2,4.8.0,post-4.8.0,4.8.1,post-4.8.1,4.10.0,post-4.10.0,4.10.1,post-4.10.1,4.10.2,post-4.10.2,4.11.20200930,post-4.11.20200930,4.11.20210226,post-4.11.20210226,unknown
SlicerCaseIterator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,3108,0,868,292,925,413,2841,133,35,93,36,24
SlicerCervicalSpine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,693,6175,2982,384,67,6306,66,25
SlicerCMF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,786,99,5643,128,0
SlicerCochlea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,903,366,1098,5379,3160,288,68,4037,93,25
SlicerDcm2nii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,1535,4158,1153,259,1358,344,25
SlicerDevelopmentToolbox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2991,385,753,1272,3829,0,1057,697,1121,4536,4162,1664,250,1381,384,25
SlicerDMRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,409,1899,5615,757,783,2429,4808,0,934,1399,672,5731,4297,1683,207,1556,314,25
SlicerElastix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2920,433,717,1771,3078,0,754,1119,810,4124,4380,2227,693,2043,454,25
SlicerFab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,0,914,390,1078,2667,3009,287,66,246,69,24
SlicerFreeSurfer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,742,91,618,132,0
SlicerHeart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072,499,5806,70,592,747,5692,248,687,896,3415,0,920,597,64,8247,3024,807,127,5046,301,43
SlicerIGSIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773,220,742,2315,2987,355,92,326,155,16
SlicerIGT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5128,106,846,586,1136,0,6297,846,7298,855,5962,115,483,945,6059,410,751,1647,3735,0,1022,1018,1117,2538,5368,2868,425,2582,725,27
SlicerIMSTK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,78,13,61,3,8
SlicerITKUltrasound,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4838,164,677,432,1470,0,346,146,723,446,2920,204,33,195,14,24
SlicerJupyter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,989,0,736,356,1169,2768,3788,1211,259,581,208,24
SlicerLayoutButtons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1829,0,827,170,963,68424,2828,93,26,2582,39,24
SlicerLookingGlass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,100,0
SlicerMorph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3946,1329,216,5035,268,25
SlicerOpenAnatomy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2745,288,62,265,101,24
SlicerOpenCV,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3705,74,499,881,5508,279,688,829,3016,0,670,361,1006,1904,1790,995,106,329,107,8
SlicerOpenIGTLink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3370,0,1012,724,1084,4343,4071,1039,182,1658,319,24
SlicerPathology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2328,49,483,540,5069,146,610,411,274,0,0,0,0,0,0,0,0,0,0,0
slicerPRISMRendering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,273,71,234,80,0
SlicerProstate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4358,413,5828,78,510,1191,6166,396,694,1079,3605,0,1004,545,1060,17021,1635,1378,144,689,194,0
SlicerProstateAblation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1352,0,833,212,936,2970,2864,107,44,2316,36,24
SlicerRadiomics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962,453,642,2397,4413,0,1046,935,1251,5645,4653,2897,397,1981,527,37
SlicerRT,0,0,0,0,0,0,0,0,2598,151,322,133,381,0,0,217,4771,218,931,2224,1122,0,6522,2378,7730,2068,5862,248,475,3021,6002,1176,854,4451,4923,0,1124,2120,1297,8616,5486,4153,338,3234,624,52
SlicerToKiwiExporter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,74,885,341,1090,0,7382,399,8507,328,5712,57,541,530,5584,161,687,536,3106,0,894,199,947,1528,3021,262,45,216,71,24
SlicerVASST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692,0,554,297,662,8190,142,0,0,0,0,0
SlicerVideoCameras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1353,206,68,166,19,8
SlicerVirtualReality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2095,0,415,354,430,9959,1342,299,45,338,29,9
SlicerVMTK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,2869,464,602,1401,1565,0,828,830,585,73068,3757,1403,200,1304,124,24
Slicer-Wasp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,40,5011,419,5689,64,545,837,5533,148,674,410,3049,0,895,365,1051,672,3081,309,70,212,88,25
SlicerWMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,556,64,455,192,0,0,0,0,0,0
SliceTracker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1805,51,387,475,5011,132,623,400,2926,0,845,545,1069,5039,2827,348,61,5763,59,24
SNRMeasurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2840,0,861,126,923,67420,2839,340,22,114,38,24
SoundControl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,89,651,208,2894,0,859,179,914,21812,2787,470,35,86,50,25
SPHARM-PDM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54560,0,0,4434,497,4697,479,2086,0,0,26,1937,190,466,439,2997,0,599,148,383,13053,66,172,23,3497,27,6
SupervisedSegmentationToolbox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SurfaceWrapSolidify,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3192,1228,313,1537,475,26
SwissSkullStripper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2338,120,872,676,1107,0,7503,832,8614,867,5777,99,479,1041,2984,315,744,1290,3740,0,996,683,1086,68969,3800,1459,150,752,183,60
T1_ECVMapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,615,54,236,62,0
T1Mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,363,5648,68,474,553,5510,171,689,539,3227,0,930,380,1133,66244,3055,668,65,259,88,25
T2mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,413,3191,0,919,299,1038,67879,3006,671,67,202,86,25
TCIABrowser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6131,364,8596,328,5745,58,548,477,5586,168,2715,666,3192,0,935,322,883,69318,2409,770,69,340,83,24
TOMAAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,3458,0,884,502,952,71868,3064,581,61,182,76,22
TorchIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,568,51,188,89,0
UKFTractography,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1435,51,586,248,255,0,4024,208,5064,198,3640,62,278,596,5336,783,820,2499,4450,0,996,1291,633,73113,4195,2033,215,1329,310,25
VASSTAlgorithms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,0,909,348,991,5029,3189,293,71,259,90,24
VirtualFractureReconstruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431,64,638,210,303,0,0,0,0,0,0,0,0,0,0,0
VolumeClip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,844,8858,833,5918,132,580,1277,6038,438,782,1370,4024,0,1058,629,1119,66397,3898,1295,162,594,248,25
WindowLevelEffect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,68,874,307,1105,0,7440,392,7021,468,5816,57,547,435,5625,165,700,493,3209,0,920,319,970,80827,3263,1075,64,266,28,66
XNATSlicer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4264,59,858,240,1099,0,7364,302,6203,40,2705,25,332,65,3543,94,649,226,2919,0,869,188,925,65323,2827,345,27,90,45,24
ZFrameRegistration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,92,677,417,3053,0,853,214,963,594,3002,205,46,813,77,24
