Extension,legacy,4.0.0,post-4.0.0,4.0.1,post-4.0.1,4.1.0,post-4.1.0,4.1.1,post-4.1.1,4.2.0,post-4.2.0,4.2.1,post-4.2.1,4.2.2,post-4.2.2,4.2.2-1,post-4.2.2-1,4.3.0,post-4.3.0,4.3.1,post-4.3.1,4.3.1-1,post-4.3.1-1,4.4.0,post-4.4.0,4.5.0-1,post-4.5.0-1,4.6.0,post-4.6.0,4.6.2,post-4.6.2,4.8.0,post-4.8.0,4.8.1,post-4.8.1,4.10.0,post-4.10.0,4.10.1,post-4.10.1,4.10.2,post-4.10.2,4.11.20200930,post-4.11.20200930,4.11.20210226,post-4.11.20210226,unknown
Q3DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,662,508,5772,71,563,767,5681,239,693,592,3183,0,888,325,978,2203,3219,687,87,196,79,34
DebuggingTools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012,349,5804,78,549,577,5845,218,711,761,3735,0,915,351,992,850,3415,1118,110,212,88,24
MeshStatisticsExtension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703,2436,445,4839,27,335,203,4312,195,646,555,3074,0,853,263,972,3587,3267,520,95,182,92,105
SlicerRadiomics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1957,440,642,2309,4381,0,1045,922,1251,5355,4575,2738,388,838,245,37
ResampleDTIlogEuclidean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,2734,277,5674,84,493,868,5802,294,713,1066,2549,0,647,412,389,2722,1986,25,5,10,6,8
ScatteredTransform,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4309,119,666,345,2990,0,883,155,938,13203,2876,133,29,55,44,24
DiceComputation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,41,0,400,0,0,4717,362,6299,320,5623,62,477,622,5492,223,658,545,328,0,0,0,0,0,0,0,0,0,0,0
CarreraSlice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,3630,325,8359,300,4138,25,260,94,3303,24,415,89,1719,0,542,31,635,91,1825,28,7,106,10,16
mpReview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,5558,53,502,480,5427,156,680,468,3155,0,878,538,1311,2855,3099,234,59,88,37,24
PBNRR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2689,365,8371,262,5670,55,480,539,258,0,0,0,382,0,334,104,136,2600,2541,113,28,31,29,24
PET-IndiC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,4336,166,5238,56,302,374,4957,146,663,509,3089,0,884,252,371,1714,633,289,57,107,51,60
Chest_Imaging_Platform,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2237,535,3867,64,117,1103,6866,373,691,1226,204,0,0,0,0,4161,574,1293,136,623,39,16
SlicerElastix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2918,420,712,1749,3057,0,754,1094,809,3992,4343,2072,680,870,217,25
SliceTracker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1805,49,387,470,5011,124,623,389,2908,0,845,539,1069,5015,2827,335,57,1045,28,24
ErodeDilateLabel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2925,62,863,412,1091,0,7345,354,2107,0,0,0,0,0,0,0,0,0,233,0,878,193,957,2337,3039,276,48,89,50,25
SlicerDevelopmentToolbox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2990,373,752,1250,3799,0,1057,682,1121,4431,4143,1573,234,591,170,25
